responseTime,ProlificId,ProlificID,SubjectId,SubjectID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,onestop_block_level,onestop_paragraph_index,device,hand,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key
20170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,70, the ,979,279,1029344.8999999762,269.2734375,972.71875,289.7734375,997.7421875,5,12,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
20220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,70, the ,980,274,1029394.3999999762,269.2734375,972.71875,289.7734375,997.7421875,5,12,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
20270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,70, the ,981,273,1029444.5,269.2734375,972.71875,289.7734375,997.7421875,5,12,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
20321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,70, the ,981,273,1029495.8999999762,269.2734375,972.71875,289.7734375,997.7421875,5,12,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
20371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,70, the ,981,273,1029545.3999999762,269.2734375,972.71875,289.7734375,997.7421875,5,12,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
20420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,70, the ,985,274,1029595,269.2734375,972.71875,289.7734375,997.7421875,5,12,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
20469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,70, the ,987,276,1029644,269.2734375,972.71875,289.7734375,997.7421875,5,12,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
20520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,70, the ,988,276,1029695.1000000238,269.2734375,972.71875,289.7734375,997.7421875,5,12,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
20570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,70, the ,980,276,1029744.2999999523,269.2734375,972.71875,289.7734375,997.7421875,5,12,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
20573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,30,4,25,26,70, the ,979,297,,259.5234375,972.71875,299.5234375,997.7421875,5,12,hover,473.7999999523163,473.7999999523163,0.2909772088666875,0.4119140625,153,,,intermediate,4,,,,,,,,,,,,,,
20620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,69, larger ,952,274,1029794.2999999523,269.2734375,921.6953125,289.7734375,972.71875,5,11,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
20657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,30,4,25,26,69, larger ,972,276,,259.5234375,921.6953125,299.5234375,972.71875,5,11,hover,83.40000009536743,83.40000009536743,0.1823610473128158,0.3119140625,153,,,intermediate,4,,,,,,,,,,,,,,
20670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,68, “The ,920,271,1029844.2000000477,269.2734375,879.6796875,289.7734375,921.6953125,5,10,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
20708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,30,4,25,26,68, “The ,920,271,,259.5234375,879.6796875,299.5234375,921.6953125,5,10,hover,51.09999990463257,51.09999990463257,0.3408330234287839,0.2869140625,153,,,intermediate,4,,,,,,,,,,,,,,
20720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,67, safe. ,873,271,1029894.3999999762,269.2734375,835.6484375,289.7734375,879.6796875,5,9,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
20758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,30,4,25,26,67, safe. ,873,271,,259.5234375,835.6484375,299.5234375,879.6796875,5,9,hover,49.90000009536743,49.90000009536743,0.09882895670688431,0.2869140625,153,,,intermediate,4,,,,,,,,,,,,,,
20770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,66, relatively ,821,271,1029944.7000000477,269.2734375,759.6171875,289.7734375,835.6484375,5,8,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
20820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,66, relatively ,773,276,1029994.3999999762,269.2734375,759.6171875,289.7734375,835.6484375,5,8,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
20824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,30,4,25,26,66, relatively ,821,271,,259.5234375,759.6171875,299.5234375,835.6484375,5,8,hover,66.5,66.5,0.17601726263871764,0.4119140625,153,,,intermediate,4,,,,,,,,,,,,,,
20858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,30,4,25,26,65, is ,759,277,,259.5234375,741.6171875,299.5234375,759.6171875,5,7,hover,33.5,33.5,0.1323784722222222,0.4619140625,153,,,intermediate,4,,,,,,,,,,,,,,
20870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,64, population ,730,279,1030044.6000000238,269.2734375,653.5390625,289.7734375,741.6171875,5,6,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
20920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,64, population ,690,280,1030094.3999999762,269.2734375,653.5390625,289.7734375,741.6171875,5,6,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
20958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,30,4,25,26,64, population ,730,279,,259.5234375,653.5390625,299.5234375,741.6171875,5,6,hover,99.89999997615814,99.89999997615814,0.016586836970019513,0.5119140625,153,,,intermediate,4,,,,,,,,,,,,,,
20970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,63, surrounding ,641,280,1030145.1000000238,269.2734375,553.46875,289.7734375,653.5390625,5,5,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
21021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,63, surrounding ,598,280,1030195.2000000477,269.2734375,553.46875,289.7734375,653.5390625,5,5,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
21070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,63, surrounding ,560,280,1030244.2000000477,269.2734375,553.46875,289.7734375,653.5390625,5,5,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
21074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,30,4,25,26,63, surrounding ,641,280,,259.5234375,553.46875,299.5234375,653.5390625,5,5,hover,116.69999992847443,116.69999992847443,0.0652666094152549,0.5119140625,153,,,intermediate,4,,,,,,,,,,,,,,
21121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,62, the ,532,280,1030295.2000000477,269.2734375,523.4453125,289.7734375,553.46875,5,4,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
21125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,30,4,25,26,62, the ,547,280,,259.5234375,523.4453125,299.5234375,553.46875,5,4,hover,50,50,0.2849336455893833,0.5119140625,153,,,intermediate,4,,,,,,,,,,,,,,
21169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,61, sure ,498,281,1030344,269.2734375,483.421875,289.7734375,523.4453125,5,3,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
21208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,30,4,25,26,61, sure ,518,280,,259.5234375,483.421875,299.5234375,523.4453125,5,3,hover,83.30000007152557,83.30000007152557,0.01444466133125122,0.6119140625,153,,,intermediate,4,,,,,,,,,,,,,,
21220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,60, making ,479,285,1030394.7000000477,269.2734375,420.390625,289.7734375,483.421875,5,2,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
21270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,60, making ,460,289,1030444.7000000477,269.2734375,420.390625,289.7734375,483.421875,5,2,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
21320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,60, making ,444,293,1030494.2000000477,269.2734375,420.390625,289.7734375,483.421875,5,2,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
21371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,60, making ,431,296,1030545.2000000477,269.2734375,420.390625,289.7734375,483.421875,5,2,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
21421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,60, making ,424,298,1030595.2000000477,269.2734375,420.390625,289.7734375,483.421875,5,2,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
21440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,30,4,25,26,60, making ,479,285,,259.5234375,420.390625,299.5234375,483.421875,5,2,hover,232.39999997615814,232.39999997615814,0.041398116013882005,0.9869140625,153,,,intermediate,4,,,,,,,,,,,,,,
21470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,71, distance ,420,301,1030644.2999999523,309.2734375,400.375,329.7734375,472.421875,6,1,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
21520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,71, distance ,416,304,1030694.6000000238,309.2734375,400.375,329.7734375,472.421875,6,1,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
21571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,71, distance ,414,306,1030745.1000000238,309.2734375,400.375,329.7734375,472.421875,6,1,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
21620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,71, distance ,414,307,1030794.3999999762,309.2734375,400.375,329.7734375,472.421875,6,1,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
21670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,71, distance ,415,310,1030845.1000000238,309.2734375,400.375,329.7734375,472.421875,6,1,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
21720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,71, distance ,422,313,1030894.2000000477,309.2734375,400.375,329.7734375,472.421875,6,1,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
21771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,71, distance ,432,316,1030945.2999999523,309.2734375,400.375,329.7734375,472.421875,6,1,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
21821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,71, distance ,445,317,1030995.2000000477,309.2734375,400.375,329.7734375,472.421875,6,1,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
21870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,71, distance ,460,318,1031045.1000000238,309.2734375,400.375,329.7734375,472.421875,6,1,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
21908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,30,4,25,26,71, distance ,421,300,,299.5234375,400.375,339.5234375,472.421875,6,1,hover,467.60000002384186,467.60000002384186,0.9941444372153546,0.4869140625,153,,,intermediate,4,,,,,,,,,,,,,,
21921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,72, the ,477,319,1031095.2999999523,309.2734375,472.421875,329.7734375,502.4453125,6,2,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
21971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,72, the ,492,320,1031145.1000000238,309.2734375,472.421875,329.7734375,502.4453125,6,2,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
22008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,30,4,25,26,72, the ,477,319,,299.5234375,472.421875,339.5234375,502.4453125,6,2,hover,100.10000002384186,100.10000002384186,0.9518605256310174,0.5119140625,153,,,intermediate,4,,,,,,,,,,,,,,
22020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,73, drone ,505,320,1031194.3999999762,309.2734375,502.4453125,329.7734375,553.484375,6,3,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
22071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,73, drone ,519,320,1031245.2000000477,309.2734375,502.4453125,329.7734375,553.484375,6,3,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
22120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,73, drone ,530,320,1031294.2999999523,309.2734375,502.4453125,329.7734375,553.484375,6,3,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
22170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,73, drone ,540,320,1031344.2000000477,309.2734375,502.4453125,329.7734375,553.484375,6,3,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
22220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,73, drone ,552,320,1031394.5,309.2734375,502.4453125,329.7734375,553.484375,6,3,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
22224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,30,4,25,26,73, drone ,505,320,,299.5234375,502.4453125,339.5234375,553.484375,6,3,hover,215.69999992847443,215.69999992847443,0.970916883514465,0.5119140625,153,,,intermediate,4,,,,,,,,,,,,,,
22270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,74," travels, ",566,320,1031444.5,309.2734375,553.484375,329.7734375,616.5078125,6,4,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
22320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,74," travels, ",586,320,1031494.6000000238,309.2734375,553.484375,329.7734375,616.5078125,6,4,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
22370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,74," travels, ",604,318,1031544.5,309.2734375,553.484375,329.7734375,616.5078125,6,4,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
22391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,30,4,25,26,74," travels, ",556,320,,299.5234375,553.484375,339.5234375,616.5078125,6,4,hover,167.70000004768372,167.70000004768372,0.8967398041403247,0.4619140625,153,,,intermediate,4,,,,,,,,,,,,,,
22421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,75, the ,622,317,1031595.2000000477,309.2734375,616.5078125,329.7734375,646.53125,6,5,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
22470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,75, the ,632,316,1031644.2000000477,309.2734375,616.5078125,329.7734375,646.53125,6,5,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
22521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,75, the ,641,316,1031695.2000000477,309.2734375,616.5078125,329.7734375,646.53125,6,5,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
22540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,30,4,25,26,75, the ,618,318,,299.5234375,616.5078125,339.5234375,646.53125,6,5,hover,148.89999997615814,148.89999997615814,0.9156908665105387,0.4119140625,153,,,intermediate,4,,,,,,,,,,,,,,
22570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,76, more ,650,316,1031744.2999999523,309.2734375,646.53125,329.7734375,692.546875,6,6,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
22621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,76, more ,663,315,1031795.2000000477,309.2734375,646.53125,329.7734375,692.546875,6,6,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
22670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,76, more ,676,314,1031844.2999999523,309.2734375,646.53125,329.7734375,692.546875,6,6,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
22720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,76, more ,686,313,1031894.2000000477,309.2734375,646.53125,329.7734375,692.546875,6,6,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
22771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,76, more ,691,313,1031945.2000000477,309.2734375,646.53125,329.7734375,692.546875,6,6,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
22774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,30,4,25,26,76, more ,647,316,,299.5234375,646.53125,339.5234375,692.546875,6,6,hover,234.29999995231628,234.29999995231628,0.966383701188455,0.3369140625,153,,,intermediate,4,,,,,,,,,,,,,,
22821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,77, dangerous ,697,313,1031995.2999999523,309.2734375,692.546875,329.7734375,782.6171875,6,7,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
22871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,77, dangerous ,707,312,1032045.2000000477,309.2734375,692.546875,329.7734375,782.6171875,6,7,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
22920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,77, dangerous ,721,312,1032094.2000000477,309.2734375,692.546875,329.7734375,782.6171875,6,7,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
22970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,77, dangerous ,737,312,1032144.5,309.2734375,692.546875,329.7734375,782.6171875,6,7,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
23020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,77, dangerous ,756,314,1032194.6000000238,309.2734375,692.546875,329.7734375,782.6171875,6,7,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
23070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,77, dangerous ,773,315,1032244.7000000477,309.2734375,692.546875,329.7734375,782.6171875,6,7,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
23108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,30,4,25,26,77, dangerous ,693,313,,299.5234375,692.546875,339.5234375,782.6171875,6,7,hover,333.3000000715256,333.3000000715256,0.9931477144591899,0.4119140625,153,,,intermediate,4,,,,,,,,,,,,,,
23120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,78, it ,785,316,1032294.8999999762,309.2734375,782.6171875,329.7734375,796.625,6,8,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
23171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,78, it ,796,318,1032345.2999999523,309.2734375,782.6171875,329.7734375,796.625,6,8,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
23173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,30,4,25,26,78, it ,785,316,,299.5234375,782.6171875,339.5234375,796.625,6,8,hover,65.69999992847443,65.69999992847443,0.9553820412716119,0.4619140625,153,,,intermediate,4,,,,,,,,,,,,,,
23221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,79, becomes.” ,804,319,1032395.2000000477,309.2734375,796.625,329.7734375,885.6640625,6,9,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
23270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,79, becomes.” ,812,320,1032445.1000000238,309.2734375,796.625,329.7734375,885.6640625,6,9,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
23320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,79, becomes.” ,827,321,1032495.1000000238,309.2734375,796.625,329.7734375,885.6640625,6,9,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
23371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,79, becomes.” ,852,322,1032545.2000000477,309.2734375,796.625,329.7734375,885.6640625,6,9,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
23420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,79, becomes.” ,873,322,1032595.2000000477,309.2734375,796.625,329.7734375,885.6640625,6,9,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
23471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,79, becomes.” ,875,322,1032645.7999999523,309.2734375,796.625,329.7734375,885.6640625,6,9,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
23521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,79, becomes.” ,875,322,1032695.5,309.2734375,796.625,329.7734375,885.6640625,6,9,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
23572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,79, becomes.” ,875,322,1032746.2000000477,309.2734375,796.625,329.7734375,885.6640625,6,9,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
23621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,79, becomes.” ,875,322,1032796.1000000238,309.2734375,796.625,329.7734375,885.6640625,6,9,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
23671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,79, becomes.” ,875,322,1032845.6000000238,309.2734375,796.625,329.7734375,885.6640625,6,9,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
23721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,79, becomes.” ,875,322,1032895.3999999762,309.2734375,796.625,329.7734375,885.6640625,6,9,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
23770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,79, becomes.” ,876,322,1032944.3999999762,309.2734375,796.625,329.7734375,885.6640625,6,9,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
23790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,30,4,25,26,79, becomes.” ,799,319,,299.5234375,796.625,339.5234375,885.6640625,6,9,hover,616.8000000715256,616.8000000715256,0.9588488198648767,0.5619140625,153,,,intermediate,4,,,,,,,,,,,,,,
23820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,30,4,25,26,80, Of ,895,324,1032994.6000000238,309.2734375,885.6640625,329.7734375,909.671875,6,10,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
23840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,30,4,25,26,80, Of ,889,323,,299.5234375,885.6640625,339.5234375,909.671875,6,10,hover,49.89999997615814,49.89999997615814,0.8054018874064433,0.6369140625,153,,,intermediate,4,,,,,,,,,,,,,,
